"geoid","ntacode","ntaname","lat","lon"
"360470606002","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.5863223463496,-73.9585926036642
"360810942032","QN12","Hammels-Arverne-Edgemere",40.58627627161,-73.8114626568914
"360850277041","SI24","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill",40.5838606906612,-74.153273956127
"360470370004","BK19","Brighton Beach",40.5860622732446,-73.9615362394966
"360470622001","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.5854011353193,-73.9338566012665
"360470622002","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.5834652446516,-73.9366009112751
"360470366003","BK19","Brighton Beach",40.5823869916378,-73.9629279872453
"360850112012","SI36","Old Town-Dongan Hills-South Beach",40.5775450005554,-74.0902341783132
"360470612001","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.5810883856364,-73.9493616484162
"360470610042","BK19","Brighton Beach",40.5806522165815,-73.9557809603367
"360470364002","BK19","Brighton Beach",40.5796539556624,-73.9660884496661
"360470362001","BK19","Brighton Beach",40.5787478521223,-73.9612333865535
"360470336003","BK21","Seagate-Coney Island",40.5756888555912,-74.0095407596241
"360810446011","QN61","Jamaica",40.704504906951,-73.7993994341126
"360050414003","BX62","Woodlawn-Wakefield",40.9056935351162,-73.8508425513999
"360050233022","BX41","Mount Hope",40.8478813624223,-73.9055036055597
"360810938002","QN10","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel",40.581369951023,-73.8249234869655
"360470362003","BK19","Brighton Beach",40.577474197111,-73.9668509841929
"360470326005","BK21","Seagate-Coney Island",40.5774323011205,-73.9881717425153
"360470360021","BK19","Brighton Beach",40.5764917780805,-73.9603681166768
"360470610021","BK19","Brighton Beach",40.5754548193816,-73.9556711788952
"360470360013","BK19","Brighton Beach",40.5759549334622,-73.9639789794028
"360470326002","BK21","Seagate-Coney Island",40.5753994298617,-73.9879300106331
"360850134001","SI45","New Dorp-Midland Beach",40.5723731189401,-74.1159882040544
"360470342002","BK21","Seagate-Coney Island",40.5740736531104,-73.9961983841572
"360470342003","BK21","Seagate-Coney Island",40.5739300629284,-73.9988123953906
"360850132011","SI25","Oakwood-Oakwood Beach",40.566076251858,-74.1230617051297
"360850128062","SI25","Oakwood-Oakwood Beach",40.5618891740046,-74.1152489048217
"360850128042","SI45","New Dorp-Midland Beach",40.5621883753691,-74.099839252227
"360850132043","SI25","Oakwood-Oakwood Beach",40.5613935325498,-74.132501689595
"360810466001","QN06","Jamaica Estates-Holliswood",40.7144717299591,-73.7852123110122
"360850170082","SI48","Arden Heights",40.5560620792492,-74.1787025475753
"360850132041","SI25","Oakwood-Oakwood Beach",40.5606539262241,-74.1264617505959
"360810916011","QN10","Breezy Point-Belle Harbor-Rockaway Park-Broad Channel",40.554110691476,-73.9256041022712
"360850170122","SI01","Annadale-Huguenot-Prince's Bay-Eltingville",40.5522464845827,-74.171686858384
"360850132031","SI54","Great Kills",40.5538114431892,-74.1386739675929
"360850156033","SI54","Great Kills",40.5432263260664,-74.1420733450174
"360850170051","SI01","Annadale-Huguenot-Prince's Bay-Eltingville",40.5391216616795,-74.1840874159046
"360850208043","SI32","Rossville-Woodrow",40.5312178802647,-74.197817067643
"360850198004","SI01","Annadale-Huguenot-Prince's Bay-Eltingville",40.5226288169112,-74.191993389628
"360850248003","SI11","Charleston-Richmond Valley-Tottenville",40.5178135615238,-74.2397967536462
"360850248001","SI11","Charleston-Richmond Valley-Tottenville",40.5103400354475,-74.2508599971825
"360850244021","SI11","Charleston-Richmond Valley-Tottenville",40.5041022843383,-74.2314849854872
"360850244022","SI11","Charleston-Richmond Valley-Tottenville",40.5004336126518,-74.2464035839749
"360050161004","BX75","Crotona Park East",40.8362351352584,-73.8873553637026
"360050456001","BX03","Eastchester-Edenwald-Baychester",40.8916155393502,-73.8353183951913
"360050281002","BX28","Van Cortlandt Village",40.8847453522243,-73.893113195324
"360470571002","BK76","Greenpoint",40.7241687700987,-73.9460522200627
"360050239002","BX40","Fordham South",40.8577182165968,-73.9032256727632
"360050069002","BX34","Melrose South-Mott Haven North",40.8221988953414,-73.9163304200656
"360470628003","BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach",40.5862897983171,-73.921880117292
"360050444001","BX62","Woodlawn-Wakefield",40.8986118571271,-73.8467460191779
"360610201024","MN11","Central Harlem South",40.8059731572194,-73.9570326463935
"360810163001","QN70","Astoria",40.7587812552577,-73.9080540624738
"360810249002","QN63","Woodside",40.7422552300823,-73.905917073673
"360810803023","QN62","Queensboro Hill",40.7399843189628,-73.8210642661592
"360050332024","BX07","Bronxdale",40.8643490789076,-73.8698670909722
"360050336003","BX07","Bronxdale",40.8687451935954,-73.8681902678129
"360050383012","BX40","Fordham South",40.8570303569097,-73.8975848523957
"360610007001","MN25","Battery Park City-Lower Manhattan",40.7056226426011,-74.0079444303754
"360610253006","MN36","Washington Heights South",40.8429049575405,-73.9404293932572
"360050228003","BX49","Pelham Parkway",40.8555687219739,-73.8643054889703
"360050245014","BX36","University Heights-Morris Heights",40.8530543171027,-73.9160310461803
"360050227012","BX41","Mount Hope",40.8473927363506,-73.9092443165179
"360610245001","MN36","Washington Heights South",40.8380635310587,-73.9408362323216
"360050225003","BX14","East Concourse-Concourse Village",40.8380526363261,-73.9101139932881
"360050435001","BX99","park-cemetery-etc-Bronx",40.8945629669069,-73.8819630744243
"360050345001","BX22","North Riverdale-Fieldston-Riverdale",40.9064469040191,-73.8983706330736
"360050420002","BX44","Williamsbridge-Olinville",40.8931804429585,-73.8591892231737
"360050442004","BX62","Woodlawn-Wakefield",40.9029918064191,-73.8434793663308
"360050434001","BX62","Woodlawn-Wakefield",40.9005539796715,-73.8505779732419
"360050451022","BX62","Woodlawn-Wakefield",40.9002249444547,-73.8626922376268
"360050335001","BX22","North Riverdale-Fieldston-Riverdale",40.8974802568656,-73.905065548937
"360050418001","BX62","Woodlawn-Wakefield",40.8978388205268,-73.8589353563562
